"JADWAL PEMBAGIAN KELAS"
"UPT Pusat Bahasa ITB"
"Time Day",101,102,103,105,201,202,203,204,205,206,301,302,303,304,305,307,405,407,509,RC
Senin
07.00-09.00,,,,,"BIPA A",,,,,,,,,,,,,,,
09.00-10.30,,,,,"BIPA A",,,,,,,,,,,,,,,
10.30-12.00,,,,,,,,,"BIPA B",,,,,,,,,,,
13.30-15.00,,,,,,,,,"BIPA B",,,,,,,,,,,
15.00-16.30,,,,,,,,,,,,,,,,,,,,
16.30-18.00,AW,,,,,,,"GE 2 A",,,,,,,,,,,,
18.30-20.00,,,,,,,,,,,"GE 1",,,,,,,,,
Selasa
07.00-09.00,,,,"BIPA C",,,,,,,,,,,,,,,,
09.00-10.30,,,,"BIPA C",,,,,,,,,,,,,,,,
10.30-12.00,,,,"BIPA D",,,,,,,,,,,,,,,,
13.30-15.00,,,,"BIPA D",,,,,,,,,,,,,,,,
15.00-16.30,,,,,,,,,,,,,,,,,,,,
16.30-18.00,,,,,,,,,,,,,,,,,,,,
18.30-20.00,,,,,,,,"GE 2 B",,,,,,,,,,,,
Rabu
07.00-09.00,,,,,"BIPA A",,,,,,,,,,,,,,,
09.00-10.30,,,,,"BIPA A",,,,,,,,,,,,,,,
10.30-12.00,,,,,,,,,"BIPA B",,,,,,,,,,,
13.30-15.00,,,,,,,,,"BIPA B",,,,,,,,,,,
15.00-16.30,,,,,,,,,,,,,,,,,,,,
16.30-18.00,AW,,,,,,,"GE 2 A",,,,,,,,,,,,
18.30-20.00,,,,,,,,,,,"GE 1",,,,,,,,,
Kamis
07.00-09.00,,,,"BIPA C",,,,,,,,,,,,,,,,
09.00-10.30,,,,"BIPA C",,,,,,,,,,,,,,,,
10.30-12.00,,,,"BIPA D",,,,,,,,,,,,,,,,
13.30-15.00,,,,"BIPA D",,,,,,,,,,,,,,,,
15.00-16.30,,,,,,,,,,,,,,,,,,,,
16.30-18.00,,,,,,,,,,,,,,,,,,,,
18.30-20.00,,,,,,,,"GE 2 B",,,,,,,,,,,,
Jumat
07.00-09.00,,,,,,,,,,,,,,,,,,,,
09.00-10.30,,,,,,,,,,,,,,,,,,,,
10.30-12.00,,,,,,,,,,,,,,,,,,,,
13.30-15.00,,,,,,,,,,,,,,,,,,,,
15.00-16.30,,,,,,,,,,,,,,,,,,,,
16.30-18.00,,,,,,,,,,,,,,,,,,,,
18.30-20.00,,,,,,,,,,,,,,,,,,,,
